participant_id	lab	lab_number	institution	list	accuracy	n_article_trials	n_noun_trials	included_in_paper	exclusion_note	hand	age_range	native_language	recording_system	age	sex	weight	height
sub-birm01	birm	1	University of Birmingham	1	90.0	78	79	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm02	birm	1	University of Birmingham	1	95.0	64	64	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm03	birm	1	University of Birmingham	2	100.0	63	62	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm04	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm05	birm	1	University of Birmingham	1	100.0	79	80	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm06	birm	1	University of Birmingham	1	100.0	80	79	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm07	birm	1	University of Birmingham	2	100.0	79	79	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm08	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	n/a	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm09	birm	1	University of Birmingham	1	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm10	birm	1	University of Birmingham	1	95.0	76	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm11	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm12	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm13	birm	1	University of Birmingham	1	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm14	birm	1	University of Birmingham	1	95.0	76	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm15	birm	1	University of Birmingham	2	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm16	birm	1	University of Birmingham	2	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm17	birm	1	University of Birmingham	2	100.0	73	73	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm18	birm	1	University of Birmingham	1	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm19	birm	1	University of Birmingham	1	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm20	birm	1	University of Birmingham	2	95.0	75	75	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm21	birm	1	University of Birmingham	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm22	birm	1	University of Birmingham	1	90.0	72	70	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm23	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm24	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm25	birm	1	University of Birmingham	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm26	birm	1	University of Birmingham	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
